Ranking,City,Country,Lat,Lng,Avg_WiFi_Speed(Mbps),No._Co-working_Spaces,Avg_Coffee($),Avg_Taxi($/km),Avg_Beer($/2),Avg_Rent_1BR($/mo),Avg_Restaurant($),Avg_Sunshine(hr/yr),No.TripAdvisor_Attractions,No.Instagram_#Photos,Air_Quality,Water_Pollution
1,Bangkok,Thailand,13.7524938,100.4935089,28,117,1.69,0.89,3.35,450.93,1.67,2624,2262,28386616,26.85185185,70.83333333
2,New Delhi,India,28.6138954,77.2090057,12,165,1.54,0.21,3.15,194.68,3.15,2685,2019,28528249,,
3,Lisbon,Portugal,38.7077507,-9.1365919,33,95,1.69,0.43,3.71,799.58,8.35,2806,1969,10205538,64.60674157,24.85632184
4,Barcelona,Spain,41.3828939,2.1774322,37,136,1.73,1.1,5.56,834.62,11.13,2591,2739,62894055,35.49723757,51.31578947
5,Buenos Aires,Argentina,-34.6075682,-58.4370894,17,67,1.33,0.51,2.35,249.31,5.59,2525,1660,21293975,54.26470588,54.84375
5,Budapest,Hungary,47.48138955,19.14609412691246,37,40,1.3,0.78,2.61,398.23,5.22,1988,1468,14267880,40.61032864,32.375
7,Mumbai,India,19.0785451,72.878176,23,152,1.71,0.24,3.56,455.77,3.15,2584,892,47201552,25.16025641,75.32537961
8,Istanbul,Turkey,41.0091982,28.9662187,13,69,1.34,0.31,3.63,249.91,3.17,2218,2088,116213193,,
9,Bucharest,Romania,44.4361414,26.1027202,54,46,1.93,0.38,3.02,382.69,6.59,2115,726,3376251,23.50574713,55.02336449
10,Phuket,Thailand,7.9366015,98.3529292,23,11,1.88,0.83,4.26,327.0,2.95,3450,1698,10190220,70.68965517,70.23809524
10,Chiang Mai,Thailand,18.7882778,98.9858802,26,25,1.43,0.36,3.82,328.1,1.67,2512,1181,6428544,19.27710843,59.45945946
12,Madrid,Spain,40.4167047,-3.7035825,32,125,1.85,1.02,10.88,816.53,11.13,2769,1976,44165754,36.23417722,18.95424837
13,Jakarta,Indonesia,-6.1753942,106.827183,14,104,1.89,0.24,4.32,367.59,2.16,3252,449,75735133,22.265625,77.1
14,São Paulo,Brazil,-23.5506507,-46.6333824,17,112,1.24,0.92,3.06,351.82,4.59,1894,1267,32178314,,
15,Rio de Janeiro,Brazil,-22.9110137,-43.2093727,10,42,1.17,0.46,2.45,287.73,4.99,2187,1607,43041426,46.81208054,77.24137931
16,Sofia,Bulgaria,42.6977,23.3219,30,53,1.23,0.38,2.78,340.59,5.68,2177,598,4197864,23.62132353,40.94339623
17,Mexico City,Mexico,19.4326296,-99.1331785,20,133,1.81,0.26,3.15,493.45,5.91,2555,969,6810938,18.07909605,69.59064327
18,Hanoi,Vietnam,21.0294498,105.8544441,14,59,1.3,0.41,1.37,268.74,1.36,1585,1948,7438755,15.70247934,77.35042735
19,Krakow,Poland,50.0619474,19.9368564,37,35,2.17,0.49,4.08,584.59,6.11,2492,999,5787290,12.19879518,36.53846154
20,Kuala Lumpur,Malaysia,3.1516964,101.6942371,17,103,2.11,0.56,5.6,356.22,2.8,2774,665,15148859,39.43452381,65.68322981
21,Ho Chi Minh City,Vietnam,10.7764772,106.701938,13,92,1.48,0.51,1.43,439.28,1.71,2489,1357,1636058,12.21910112,77.76162791
22,Singapore,Singapore,1.357107,103.8194992,93,117,3.2,0.52,10.36,1581.11,7.91,2022,1561,41453533,65.87837838,24.204947
23,Belgrade,Serbia,44.8178131,20.4568974,34,33,1.43,0.55,3.15,334.52,5.52,2112,535,4424079,34.82532751,50.90497738
23,Prague,Czech Republic,50.0874654,14.4212535,36,38,2.06,1.01,4.0,646.58,5.44,1668,2342,17540484,63.21243523,25.70621469
25,Cape Town,South Africa,-33.928992,18.417396,12,46,1.57,0.65,3.8,537.46,7.6,3094,1469,12323779,68.61111111,50.42613636
26,Siem Reap,Cambodia,13.3617562,103.8590321,9,3,1.36,0.59,1.37,220.95,1.55,3519,1650,2293814,60.0,95.0
27,Porto,Portugal,41.1494512,-8.6107884,29,32,1.46,0.47,3.69,622.25,6.47,2468,802,9726729,68.44262295,34.58333333
28,Valencia,Spain,39.4697065,-0.3763353,30,39,1.64,0.92,5.54,646.1,9.25,2660,681,23385115,59.65909091,38.41463415
29,Kyiv,Ukraine,50.4500336,30.5241361,33,49,1.01,0.2,1.72,449.56,5.02,1955,87,6800366,,
30,Los Angeles,United States,34.0536909,-118.242766,58,105,3.68,1.31,10.95,1751.47,15.64,3254,1375,75436810,36.62162162,61.29943503
31,Moscow,Russia,55.7504461,37.6174943,17,47,1.85,0.16,4.41,698.74,8.21,1901,4653,58201864,41.47526502,49.72527473
32,Hoi An,Vietnam,15.8798137,108.3273939,12,1,1.12,0.51,1.63,174.71,1.44,2786,1176,2115317,,
33,Hong Kong,Hong Kong,22.2793278,114.1628131,78,183,3.8,0.86,10.99,1717.59,6.04,1836,1330,39815830,,
34,Colombo,Sri Lanka,6.9387469,79.8541134,9,24,1.69,0.2,2.67,340.05,1.57,3007,868,2575173,45.13274336,62.73148148
34,Seoul,South Korea,37.5666791,126.9782914,25,74,3.24,0.6,5.08,698.11,5.43,2066,1166,20380943,33.7628866,36.45251397
36,Las Vegas,United States,36.1672559,-115.148516,47,21,3.65,1.57,9.38,897.54,11.73,3825,1420,40524360,51.72413793,49.69135802
